title,rating,price,stock
A Light in the Attic,Three,£51.77,In
Tipping the Velvet,One,£53.74,In
Soumission,One,£50.10,In
Sharp Objects,Four,£47.82,In
Sapiens: A Brief History of Humankind,Five,£54.23,In
The Requiem Red,One,£22.65,In
The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,In
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,In
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,In
The Black Maria,One,£52.15,In
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,In
Shakespeare's Sonnets,Four,£20.66,In
Set Me Free,Five,£17.46,In
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,In
Rip it Up and Start Again,Five,£35.02,In
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,In
Olio,One,£23.88,In
Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,In
Libertarianism for Beginners,Two,£51.33,In
It's Only the Himalayas,Two,£45.17,In
